time_step,quat_err_w,quat_err_x,quat_err_y,quat_err_z,quat_total_err,omega_err_x,omega_err_y,omega_err_z,omega_rmse_t
0,0.0020983815,-0.0051071644,0.00488846,0.0018731356,0.00760868,-0.057317473,-0.17725402,0.13405389,0.13250752
1,0.00092726946,-0.0055754855,0.0013545007,0.0014885068,0.0059996825,-0.07257604,-0.1905829,0.09170276,0.12909754
2,0.001267612,-0.0037762374,0.0015793592,0.0014996529,0.0045398395,-0.07275531,-0.15716493,0.060542315,0.10592375
3,0.00086027384,-0.003859356,0.00040718913,0.0013449788,0.004196364,-0.07668215,-0.108521186,0.03799522,0.07979272
4,0.0011808872,-0.0031134263,-0.00047308207,0.0017299652,0.0037821296,-0.07758202,-0.07131769,0.025608838,0.06261255
5,0.0014184117,-0.0025732964,-0.0001797378,0.0018202066,0.0034610988,-0.07280875,-0.049010474,0.0032292604,0.050706897
6,0.0011373162,-0.0019719973,-1.2949109e-05,0.0014147162,0.0026802707,-0.06819358,-0.03799065,-0.009068847,0.045372155
7,0.0007996559,-0.0008741617,0.0010131598,0.00070488453,0.001710837,-0.06193438,-0.008097473,0.0004967749,0.036063295
8,0.0009069443,-0.00064145774,0.002440229,0.0004811883,0.0027240184,-0.05402206,-0.006881515,-0.009310305,0.031897858
9,0.0007946491,-0.0016604513,0.0039847493,0.00020253658,0.004394066,-0.03071548,-0.013403698,-0.015522391,0.021323262
10,0.00064349174,-0.002907239,0.0042464733,0.00018155575,0.0051895683,-0.0036384575,-0.027863644,0.011282653,0.017482556
11,2.5629997e-06,-0.0022400245,0.004008487,-0.0004978776,0.0046188273,0.015150242,-0.034136556,0.038275927,0.030875454
12,0.00028038025,-0.00044030696,0.004081309,-0.0005044341,0.004145361,0.028860971,-0.0066306368,0.034115046,0.02608165
13,0.00044935942,0.0007272139,0.004624516,-0.0006185174,0.004743361,0.02685529,0.004721299,0.026086211,0.021786751
14,0.00046497583,0.0011823624,0.00419499,-0.0005826354,0.004421718,0.012725204,0.0055940673,0.0057439804,0.008683657
15,3.0398369e-06,0.0008607283,0.0028159916,-0.0007046461,0.003027738,0.019385792,-0.03173562,-0.021196783,0.02471344
16,-0.00025987625,0.0005405769,0.0023068786,-0.0008098483,0.0025173998,0.020559415,-0.051473208,-0.055412143,0.045249995
17,-0.00060403347,0.00019717216,0.0018501878,-0.0009989738,0.0021965601,0.011165559,-0.035661362,-0.07497954,0.04836781
18,-0.0005015731,0.00038006902,0.0018468946,-0.00092571974,0.0021596306,0.0038400218,-0.006543249,-0.063429624,0.036882143
